lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
118.11000 41.03000 NaN NaN NaN NaN 0 leve Leveling
118.14000 41.03000 NaN NaN NaN NaN 0 leve Leveling
118.17000 41.03000 NaN NaN NaN NaN 0 leve Leveling
118.19000 41.05000 NaN NaN NaN NaN 0 leve Leveling
118.34000 40.97000 NaN NaN NaN NaN 0 leve Leveling
118.39000 40.99000 NaN NaN NaN NaN 0 leve Leveling
118.45000 41.00000 NaN NaN NaN NaN 0 leve Leveling
118.56000 41.03000 NaN NaN NaN NaN 0 leve Leveling
118.61000 41.02000 NaN NaN NaN NaN 0 leve Leveling
118.64000 41.01000 NaN NaN NaN NaN 0 leve Leveling
118.81000 41.03000 NaN NaN NaN NaN 0 leve Leveling
118.94000 40.97000 NaN NaN NaN NaN 0 leve Leveling
118.99000 40.96000 NaN NaN NaN NaN 0 leve Leveling
119.05000 41.02000 NaN NaN NaN NaN 0 leve Leveling
119.05000 41.04000 NaN NaN NaN NaN 0 leve Leveling
119.08000 41.08000 NaN NaN NaN NaN 0 leve Leveling
119.14000 41.11000 NaN NaN NaN NaN 0 leve Leveling
119.25000 41.21000 NaN NaN NaN NaN 0 leve Leveling
119.38000 41.24000 NaN NaN NaN NaN 0 leve Leveling
119.40000 41.17000 NaN NaN NaN NaN 0 leve Leveling
119.41000 41.15000 NaN NaN NaN NaN 0 leve Leveling
119.43000 41.13000 NaN NaN NaN NaN 0 leve Leveling
119.45000 41.13000 NaN NaN NaN NaN 0 leve Leveling
119.49000 41.12000 NaN NaN NaN NaN 0 leve Leveling
119.48000 41.10000 NaN NaN NaN NaN 0 leve Leveling
119.53000 41.07000 NaN NaN NaN NaN 0 leve Leveling
119.64000 40.99000 NaN NaN NaN NaN 0 leve Leveling
119.65000 40.90000 NaN NaN NaN NaN 0 leve Leveling
119.72000 40.87000 NaN NaN NaN NaN 0 leve Leveling
119.82000 40.79000 NaN NaN NaN NaN 0 leve Leveling
119.85000 40.77000 NaN NaN NaN NaN 0 leve Leveling
119.93000 40.67000 NaN NaN NaN NaN 0 leve Leveling
119.93000 40.64000 NaN NaN NaN NaN 0 leve Leveling
119.99000 40.13000 NaN NaN NaN NaN 0 leve Leveling
119.85000 40.05000 NaN NaN NaN NaN 0 leve Leveling
119.82000 40.04000 NaN NaN NaN NaN 0 leve Leveling
119.79000 40.02000 NaN NaN NaN NaN 0 leve Leveling
119.59000 39.93000 NaN NaN NaN NaN 0 leve Leveling
119.32000 39.80000 NaN NaN NaN NaN 0 leve Leveling
119.01000 39.71000 NaN NaN NaN NaN 0 leve Leveling
118.96000 39.73000 NaN NaN NaN NaN 0 leve Leveling
118.72000 39.75000 NaN NaN NaN NaN 0 leve Leveling
118.61000 39.76000 NaN NaN NaN NaN 0 leve Leveling
118.59000 39.75000 NaN NaN NaN NaN 0 leve Leveling
118.54000 39.75000 NaN NaN NaN NaN 0 leve Leveling
118.96000 42.26000 NaN NaN NaN NaN 0 leve Leveling
119.05000 42.25000 NaN NaN NaN NaN 0 leve Leveling
119.10000 42.22000 NaN NaN NaN NaN 0 leve Leveling
119.14000 42.20000 NaN NaN NaN NaN 0 leve Leveling
119.18000 42.19000 NaN NaN NaN NaN 0 leve Leveling
119.26000 42.16000 NaN NaN NaN NaN 0 leve Leveling
