lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
10.23280 45.56493 -0.11235 0.61211 0.82459 0.14539 0.04249 0.17415 0 0 0 brea GNSS
8.61400 45.44720 -0.07428 0.36670 0.35572 0.09353 0.08462 0.19176 0 0 0 nova GNSS
13.92436 42.04704 0.27875 3.14779 -1.40770 0.20253 0.15054 0.44546 0 0 0 smra GNSS
9.52104 39.14082 -0.23236 0.39145 -1.32181 0.07047 0.07614 0.33481 0 0 0 vils GNSS
35.36471 31.03760 -2.50802 9.34251 0.07973 0.24676 0.30099 0.15517 0 0 0 sdm2 GNSS
83.74330 28.80500 6.77317 26.38700 2.97984 0.31127 0.18074 0.27677 0 0 0 jmsm GNSS
85.27881 27.80073 8.41503 34.10299 1.10593 0.06752 0.15783 0.28855 0 0 0 kkn4 GNSS
97.37800 37.38000 7.42273 6.03629 -0.23623 0.33998 0.19550 0.62104 0 0 0 dlha GNSS
104.60500 35.55400 7.84654 -0.34430 -0.07193 0.25260 0.15901 0.08592 0 0 0 gsdx GNSS
102.88900 37.45500 5.77184 1.11132 0.95447 0.15421 0.14690 0.21380 0 0 0 gsgl GNSS
105.76000 35.52700 6.31906 -1.80153 0.40752 0.28301 0.13278 0.16962 0 0 0 gsjn GNSS
106.58600 35.54800 6.35255 -2.23594 0.12172 0.21834 0.19189 0.20721 0 0 0 gspl GNSS
103.53003 28.84141 6.51488 -2.49306 -1.00384 0.18565 0.52451 0.87192 0 0 0 scmb GNSS
102.75100 24.11800 4.46847 -7.50798 -0.15502 0.28488 0.33312 0.22967 0 0 0 ynth GNSS
101.32350 25.72800 4.12157 -10.59549 1.18375 0.27291 0.18078 0.60109 0 0 0 ynya GNSS
78.19836 41.86756 1.57632 9.55020 4.03995 0.30756 0.41463 0.16498 0 0 0 kmtr GNSS
94.68500 40.14374 1.92113 4.25273 -0.66800 0.14302 0.15425 0.71887 0 0 0 gsdh GNSS
94.77200 36.14500 7.99109 8.58388 -0.40201 0.21893 0.17318 0.26052 0 0 0 qhge GNSS
93.33100 38.74400 5.60355 5.98384 2.26147 0.24719 0.38019 0.45876 0 0 0 qhlh GNSS
78.77030 39.81387 -0.01957 16.53966 -0.06164 0.21785 0.20447 0.49652 0 0 0 xjbc GNSS
102.49850 23.71150 3.24734 -7.77653 -3.04052 0.70126 0.81776 0.56532 0 0 0 hb07 GNSS
77.57358 34.71396 -2.99502 19.91648 2.18000 0.49054 0.29515 0.41000 0 0 0 pan2 GNSS
12.85535 42.40555 -1.01378 1.12892 -0.39009 0.15134 0.08581 0.28083 0 0 0 riet GNSS
23.00371 40.56682 1.12044 -7.20674 -1.49039 0.11742 0.15043 0.12265 0 0 0 aut1 GNSS
25.18060 39.89720 -15.91690 -13.37042 0.00556 0.22879 0.33622 0.14026 0 0 0 lemn GNSS
19.93554 39.74636 -3.55353 -0.14429 -0.61656 0.11800 0.12187 0.36247 0 0 0 kasi GNSS
23.86400 38.04706 -16.52359 -25.34325 0.52267 0.11240 0.05593 0.22642 0 0 0 noa1 GNSS
20.58518 38.61900 -3.49868 -7.04244 -1.05385 0.25363 0.41745 0.47209 0 0 0 pont GNSS
21.46472 38.05583 -14.23448 -22.40715 -0.18593 0.18756 0.52203 0.68202 0 0 0 rlso GNSS
35.39219 31.59336 -3.39720 8.51747 3.11874 0.06598 0.03780 0.11014 0 0 0 drag GNSS
35.20888 32.10299 -3.69624 8.52734 1.25460 0.08241 0.07599 0.31933 0 0 0 yosh GNSS
18.41387 43.86742 0.56454 1.24001 0.01483 0.08563 0.18894 0.40312 0 0 0 srjv GNSS
11.33692 46.49873 -0.28412 0.56236 1.37900 0.08334 0.08268 0.13789 0 0 0 bzrg GNSS
8.92110 44.41939 0.13656 0.08331 -0.28276 0.02479 0.04487 0.08594 0 0 0 geno GNSS
13.88100 41.14600 -1.30773 2.08313 0.42298 0.11123 0.15097 0.32465 0 0 0 modr GNSS
15.50830 38.26382 0.36247 4.35714 -0.28731 0.05124 0.07324 0.49353 0 0 0 msru GNSS
14.15200 41.70324 0.10110 2.72290 0.96825 0.08900 0.07050 0.17538 0 0 0 rni2 GNSS
14.55000 41.76700 1.14569 3.48572 0.30818 0.15811 0.07772 0.16539 0 0 0 triv GNSS
15.64150 38.22420 0.19723 3.15083 0.12758 0.06558 0.09232 0.09874 0 0 0 vlsg GNSS
29.61384 41.17770 -0.55862 -1.92329 -0.86375 0.36425 0.20922 0.78248 0 0 0 silc GNSS
11.57274 48.14735 0.08852 0.33795 0.49428 0.05089 0.05321 0.12423 0 0 0 0256 GNSS
12.69992 42.95515 -0.50575 2.03807 0.57121 0.12528 0.16588 1.22451 0 0 0 fol1 GNSS
9.10052 40.90631 -0.29549 0.42653 -0.29381 0.10845 0.07190 0.25481 0 0 0 gtem GNSS
12.58212 44.04831 1.01898 3.67723 -1.03092 0.12222 0.12193 0.21413 0 0 0 itrn GNSS
9.40700 45.85728 -0.47822 0.30173 0.66485 0.40521 0.07573 0.22265 0 0 0 lec1 GNSS
12.83300 45.76700 -0.14246 2.42946 -3.22179 0.04061 0.11496 1.70670 0 0 0 port GNSS
11.11749 46.09196 0.09915 0.67385 0.13595 0.14604 0.21034 0.15208 0 0 0 tntn GNSS
12.25370 45.66263 -0.39759 1.79102 -0.18278 0.08960 0.08553 0.20122 0 0 0 trev GNSS
105.17842 37.58100 4.03085 0.08917 0.92494 0.30310 0.26713 0.23136 0 0 0 g004 GNSS
80.58180 28.75420 9.23173 35.05403 -1.96137 0.15202 0.30868 0.61661 0 0 0 dngd GNSS
80.62600 29.17652 5.76508 34.28180 -0.42468 0.59066 0.28545 1.06436 0 0 0 gntw GNSS
83.60315 27.76690 8.14051 35.39225 0.70100 0.08161 0.12784 0.29500 0 0 0 kldn GNSS
86.55000 27.30510 8.68076 32.00110 1.97391 0.35006 0.39246 0.81570 0 0 0 rmjt GNSS
83.93581 28.26001 7.51144 31.86932 1.04390 0.10917 0.24641 0.85284 0 0 0 srnk GNSS
87.70982 27.35200 9.68120 32.95671 1.37419 0.67104 0.13773 0.29221 0 0 0 tplj GNSS
94.81300 40.17200 1.68410 4.27696 -0.58443 0.26787 0.19600 0.30940 0 0 0 g161 GNSS
94.55500 39.71600 2.07956 4.68424 -0.28786 0.23115 0.13416 0.32268 0 0 0 g162 GNSS
93.48900 39.64500 2.02768 5.46658 -0.42788 0.19699 0.30261 1.22188 0 0 0 g163 GNSS
94.85700 39.51400 3.13551 4.75333 0.33042 0.19466 0.37678 0.42240 0 0 0 g164 GNSS
94.35500 38.80900 5.64570 5.50565 1.43860 0.42201 0.12749 0.37840 0 0 0 g167 GNSS
79.03500 40.50300 0.81322 14.73678 -0.57806 0.22192 0.25510 0.65586 0 0 0 i073 GNSS
75.25000 39.71800 -0.99112 12.66778 -0.99859 0.17370 0.17113 0.28246 0 0 0 i078 GNSS
76.17400 38.93500 -0.46186 19.99560 -3.26912 0.29774 0.19014 0.17423 0 0 0 i083 GNSS
74.42700 39.02494 -5.04828 18.74640 2.21594 0.33870 0.23200 0.57267 0 0 0 i399 GNSS
69.29514 41.32796 -2.04144 0.95494 0.44541 0.20348 0.16740 0.56550 0 0 0 tash GNSS
104.05700 37.18100 6.35244 0.80251 0.30835 0.19747 0.18785 0.09037 0 0 0 gsjt GNSS
102.05800 34.02000 12.42247 1.18467 -0.23793 0.26724 0.15510 0.09585 0 0 0 gsma GNSS
100.81800 38.44100 4.48123 2.35573 -0.00585 0.16597 0.14890 0.12951 0 0 0 gsml GNSS
103.08800 38.63200 4.37538 0.70739 0.03975 0.20754 0.11964 0.09429 0 0 0 gsmq GNSS
101.05850 41.95950 2.71448 0.52827 -1.48740 0.19068 0.12750 0.35040 0 0 0 nmej GNSS
105.64600 36.55400 6.43912 0.09240 -1.46435 0.19984 0.16262 0.25692 0 0 0 nxhy GNSS
106.27400 38.49400 3.82088 -0.75847 -3.86298 0.12235 0.26640 0.17107 0 0 0 nxyc GNSS
105.24400 37.58600 4.93976 0.83018 -0.31420 0.24419 0.07174 0.27585 0 0 0 nxzw GNSS
100.13000 37.33300 8.86384 2.88864 -0.17545 0.12339 0.14032 0.24011 0 0 0 qhgc GNSS
103.23000 22.78300 5.75339 -2.70062 -2.02789 0.34245 0.25875 0.36873 0 0 0 ynjp GNSS
99.37183 25.88633 -1.22613 -11.70260 -0.94630 0.28847 0.44051 1.38158 0 0 0 ynyl GNSS
88.86494 29.24906 12.23695 22.52362 0.12675 0.37859 0.48062 0.24276 0 0 0 xzrk GNSS
