lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
101.04918 22.74095 28.86665 -13.17451 -2.15837 0.29963 0.51880 0.95818 0 0 0 ynsm GNSS
87.17715 43.47105 31.96458 5.43060 1.02687 0.26559 0.14496 0.35050 0 0 0 guao GNSS
85.53000 38.11900 28.33120 9.20282 -0.85227 0.19902 0.24395 0.54016 0 0 0 xjqm GNSS
13.69651 42.65673 23.14740 18.73902 -0.78494 0.20725 0.17033 0.76119 0 0 0 tera GNSS
20.79400 41.12730 23.99516 11.74979 0.46024 0.14890 0.23548 0.19319 0 0 0 orid GNSS
21.78699 38.28454 7.84597 -6.37162 -0.56848 0.21811 0.31772 0.71529 0 0 0 012a GNSS
19.94550 40.70800 22.23224 14.43682 -0.13796 0.19105 0.14504 0.40551 0 0 0 bera GNSS
28.98755 40.86751 21.09644 12.94918 1.58253 0.35418 0.22602 0.55544 0 0 0 ysst GNSS
2.33494 48.83592 18.18578 16.12194 0.10262 0.07055 0.08273 0.47552 0 0 0 opmt GNSS
13.72970 51.02981 19.78532 15.42262 0.43234 0.02575 0.12996 0.15292 0 0 0 dres GNSS
3.46822 43.30015 19.84887 16.27317 -0.39103 0.19005 0.16254 0.62621 0 0 0 agde GNSS
16.21134 39.25350 23.42853 18.78414 -0.00341 0.08817 0.14158 0.37301 0 0 0 car1 GNSS
36.23826 50.00594 23.80782 11.79168 0.95301 0.04936 0.18974 0.16761 0 0 0 khar GNSS
19.92048 50.06610 21.16067 14.50631 0.01175 0.07807 0.09199 0.26891 0 0 0 kra1 GNSS
12.37410 51.35400 19.43385 15.29667 -0.21239 0.04888 0.03960 0.22549 0 0 0 leij GNSS
13.11040 47.80340 20.73228 16.04198 0.33167 0.08503 0.08957 0.61801 0 0 0 sbg2 GNSS
12.35580 43.11910 21.40808 17.23460 -0.43042 0.09712 0.11355 0.36687 0 0 0 unpg GNSS
13.42360 40.79518 21.41079 16.80114 -0.56047 0.08300 0.77814 0.14574 0 0 0 vent GNSS
17.06200 51.11326 20.17342 15.01481 0.07629 0.08402 0.06247 0.19158 0 0 0 wroc GNSS
10.23280 45.56493 20.53224 16.31670 0.82459 0.10119 0.02357 0.16485 0 0 0 brea GNSS
8.61400 45.44720 20.28052 16.22021 0.35572 0.08276 0.13704 0.27757 0 0 0 nova GNSS
13.92436 42.04704 22.35483 18.46612 -1.40770 0.18781 0.14777 0.53145 0 0 0 smra GNSS
9.52104 39.14082 21.62411 16.16307 -1.32181 0.23095 0.18774 0.60306 0 0 0 vils GNSS
35.36471 31.03760 23.91359 21.22739 0.07973 0.31492 0.31141 0.20046 0 0 0 sdm2 GNSS
83.74330 28.80500 35.64608 25.57725 2.97984 0.44408 0.15854 0.45988 0 0 0 jmsm GNSS
85.27881 27.80073 37.21543 32.84823 1.10593 0.23259 0.18028 0.25368 0 0 0 kkn4 GNSS
97.37800 37.38000 36.04679 1.33202 -0.23623 0.59356 0.16284 0.67800 0 0 0 dlha GNSS
104.60500 35.55400 36.09384 -7.01882 -0.07193 0.22719 0.16254 0.11273 0 0 0 gsdx GNSS
102.88900 37.45500 34.07541 -5.10383 0.95447 0.28334 0.15078 0.22534 0 0 0 gsgl GNSS
105.76000 35.52700 34.48737 -8.78189 0.40752 0.18846 0.14937 0.20664 0 0 0 gsjn GNSS
106.58600 35.54800 34.46118 -9.43329 0.12172 0.30778 0.15460 0.31528 0 0 0 gspl GNSS
103.53003 28.84141 34.78738 -8.88050 -1.00384 0.23741 0.51386 0.86476 0 0 0 scmb GNSS
102.75100 24.11800 32.51267 -13.68596 -0.15502 0.53609 0.57028 0.17860 0 0 0 ynth GNSS
101.32350 25.72800 32.34325 -16.38671 1.18375 0.26123 0.15214 0.55648 0 0 0 ynya GNSS
78.19836 41.86756 30.41954 10.34997 4.03995 0.32746 0.50289 0.27815 0 0 0 kmtr GNSS
94.68500 40.14374 30.56132 0.30345 -0.66800 0.11177 0.21472 0.71371 0 0 0 gsdh GNSS
94.77200 36.14500 36.76077 4.61008 -0.40201 0.27197 0.20965 0.36279 0 0 0 qhge GNSS
93.33100 38.74400 34.36153 2.41757 2.26147 0.28458 0.39866 0.51805 0 0 0 qhlh GNSS
78.77030 39.81387 28.93243 17.17351 -0.06164 0.25153 0.27180 0.49787 0 0 0 xjbc GNSS
102.49850 23.71150 31.27034 -13.88637 -3.04052 1.38081 0.38841 0.67488 0 0 0 hb07 GNSS
77.57358 34.71396 26.04504 20.89741 2.18000 0.50071 0.34028 0.41000 0 0 0 pan2 GNSS
12.85535 42.40555 20.79994 16.56572 -0.39009 0.29554 0.35440 0.28835 0 0 0 riet GNSS
23.00371 40.56682 24.98785 6.89505 -1.49039 0.12455 0.16339 0.08925 0 0 0 aut1 GNSS
25.18060 39.89720 8.38866 0.38583 0.00556 0.30238 0.33478 0.32237 0 0 0 lemn GNSS
19.93554 39.74636 19.94722 14.40984 -0.61656 0.08278 0.10142 1.07368 0 0 0 kasi GNSS
23.86400 38.04706 7.83239 -11.37561 0.52267 0.28653 0.61693 0.15634 0 0 0 noa1 GNSS
20.58518 38.61900 20.27574 7.41936 -1.05385 0.36950 0.46409 0.44053 0 0 0 pont GNSS
21.46472 38.05583 9.75655 -8.07333 -0.18593 0.19920 0.49478 0.69567 0 0 0 rlso GNSS
35.39219 31.59336 23.00459 20.39677 3.11874 0.12322 0.04893 0.21868 0 0 0 drag GNSS
35.20888 32.10299 22.66240 20.44384 1.25460 0.10140 0.02592 0.39388 0 0 0 yosh GNSS
18.41387 43.86742 23.09264 16.00308 0.01483 0.11748 0.29391 0.54191 0 0 0 srjv GNSS
11.33692 46.49873 20.36234 16.15818 1.37900 0.18322 0.07775 0.74503 0 0 0 bzrg GNSS
8.92110 44.41939 20.78706 15.90953 -0.28276 0.06781 0.07104 0.08482 0 0 0 geno GNSS
13.88100 41.14600 20.93181 17.40636 0.42298 0.13901 0.12260 0.44149 0 0 0 modr GNSS
15.50830 38.26382 23.37905 19.49013 -0.28731 0.03314 0.07346 0.39358 0 0 0 msru GNSS
14.15200 41.70324 22.28341 18.01531 0.96825 0.16847 0.23559 0.31116 0 0 0 rni2 GNSS
14.55000 41.76700 23.38627 18.73223 0.30818 0.18750 0.16731 0.34169 0 0 0 triv GNSS
15.64150 38.22420 23.24185 18.26771 0.12758 0.05939 0.09691 0.11181 0 0 0 vlsg GNSS
